MyUnknownColumn,CHANNEL_DIM_SKEY,FOLIO_DIM_SKEY,KARVY_REF_NO,FOLIO_ID,SCHEME_CODE,SCHEME_PLAN,TRXN_PIN_CODE,TRXN_CAT,TRXN_TYPE,TXN_SUB_TYPE,INSTRUMENT_TYPE,INSTRUMENT_BANK,LOAD_PERCENTAGE,TRXN_DATE,TXN_PROCESSING_DATE,TRXN_BATCH_CLOSE_DATE,TRXN_STATUS,NO_OF_UNITS,PRICE_PER_UNIT,APPLICABLE_NAV_DATE,APPLICABLE_NAV,APPLICABLE_POP,GROSS_AMOUNT,REMARKS,RECORD_VALID_FLAG,INVESTOR_LOCATION,PIN_CODE_DIM_SKEY,ONLINE_OFFLINE_FLAG,INVESTOR_TYPE,TRXN_PROCESS_FLAG,TRXN_CLASSIFICATION,MF_SALES_TRXN_FACT_SKEY,CHANNEL_ID,RIA_CODE,is_excluded,is_reversal
11,4172941,13432740,9681458,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-04-13,2020-04-14,2020-04-15,0,37.523,0,2020-04-13,26.65,26.65,1000,,Y,110018,4163093,OFFLINE,Retail,,SIP,52000324,ARN-11352,,0,0
12,4172941,13432740,9681458,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-08-10,2020-08-11,2020-08-11,0,32.392,0,2020-08-10,30.87,30.87,999.95,,Y,110018,6140044,OFFLINE,Retail,,SIP,52686652,ARN-11352,,0,0
13,4172941,13432740,33426505,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-06-22,2020-06-23,2020-06-23,0,69.832,0,2020-06-22,28.64,28.64,2000,,Y,110018,5428084,OFFLINE,Retail,,SIP,52287730,ARN-11352,,0,0
14,4172941,13432740,33426505,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-08-20,2020-08-21,2020-08-21,0,64.974,0,2020-08-20,30.78,30.78,1999.9,,Y,110018,6357569,OFFLINE,Retail,,SIP,53219154,ARN-11352,,0,0
15,4172941,13432740,9681458,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-06-10,2020-06-11,2020-06-11,0,35.499,0,2020-06-10,28.17,28.17,1000,,Y,110018,5111674,OFFLINE,Retail,,SIP,30337954,ARN-11352,,0,0
16,4172941,13432740,9681458,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-11-10,2020-11-11,2020-11-11,0,29.102,0,2020-11-10,34.36,34.36,999.95,,Y,110018,7781419,OFFLINE,Retail,,SIP,130561120,ARN-11352,,0,0
17,4172941,13432740,33426505,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-05-20,2020-05-21,2020-05-21,0,75.529,0,2020-05-20,26.48,26.48,2000,,Y,110018,4795274,OFFLINE,Retail,,SIP,30624962,ARN-11352,,0,0
18,4172941,13432740,33426505,9011716132,EF,GP,,P,SIN,,CQ,ANDHRA BANK,0,2020-09-21,2020-09-22,2020-09-22,0,65.356,0,2020-09-21,30.6,30.6,1999.9,,Y,110018,6832199,OFFLINE,Retail,,SIP,51964787,ARN-11352,,0,0
19,4172941,13432740,61286152,9011716132,EF,GP,,R,RED,,,,0,2020-06-17,2020-06-18,2020-06-18,Y0Y0000000,324.796,0,2020-06-17,27.71,27.71,9000.09,,Y,110018,5230324,ONLINE,Retail,,LUMP SUM,61413662,ARN-11352,,0,0
20,4090292,12827594,29216117,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-04-07,2020-04-08,2020-04-08,0,39.2,0,2020-04-07,25.51,25.51,1000,,Y,110077,4163152,ONLINE,Retail,,SIP,3061593,000000-0,,0,0
21,4090292,12827594,29216078,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-04-24,2020-04-25,2020-04-27,Y0Y0000000,37.355,0,2020-04-24,26.77,26.77,1000,,Y,110077,4380047,ONLINE,Retail,,SIP,1441569,000000-0,,0,0
22,4090292,12827594,29216117,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-05-05,2020-05-06,2020-05-06,0,37.636,0,2020-05-05,26.57,26.57,1000,,Y,110077,4577808,ONLINE,Retail,,SIP,1490189,000000-0,,0,0
23,4090292,12827594,29216078,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-05-26,2020-05-27,2020-05-27,0,38.081,0,2020-05-26,26.26,26.26,1000,,Y,110077,4834883,ONLINE,Retail,,SIP,1402062,000000-0,,0,0
24,4090292,12827594,29216117,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-06-05,2020-06-06,2020-06-08,0,34.59,0,2020-06-05,28.91,28.91,1000,,Y,110077,5072183,ONLINE,Retail,,SIP,1521981,000000-0,,0,0
25,4090292,12827594,29216078,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-06-24,2020-06-25,2020-06-25,Y0Y0000000,33.693,0,2020-06-24,29.68,29.68,1000,,Y,110077,5428143,ONLINE,Retail,,SIP,3179206,000000-0,,0,0
26,4090292,12827594,29216117,9011749693,AF,DG,,P,SIN,ISIP,IS,AXIS,0,2020-07-06,2020-07-07,2020-07-07,0,32.593,0,2020-07-06,30.68,30.68,999.95,,Y,110077,5546803,ONLINE,Retail,,SIP,1518855,000000-0,,0,0
27,4090292,12827594,29216078,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-07-24,2020-07-25,2020-07-27,Y0Y0000000,32.35,0,2020-07-24,30.91,30.91,999.95,,Y,110077,5843458,ONLINE,Retail,,SIP,1468437,000000-0,,0,0
28,4090292,12827594,29216117,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-08-05,2020-08-06,2020-08-06,0,31.947,0,2020-08-05,31.3,31.3,999.95,,Y,110077,6041228,ONLINE,Retail,,SIP,1572196,000000-0,,0,0
29,4090292,12827594,29216078,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-08-24,2020-08-25,2020-08-25,0,30.645,0,2020-08-24,32.63,32.63,999.95,,Y,110077,6397183,ONLINE,Retail,,SIP,1546432,000000-0,,0,0
30,4090292,12827594,29216117,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-09-07,2020-09-08,2020-09-08,0,30.844,0,2020-09-07,32.42,32.42,999.95,,Y,110077,6575183,ONLINE,Retail,,SIP,3295192,000000-0,,0,0
31,4090292,12827594,29216078,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-09-24,2020-09-25,2020-09-25,Y0Y0000000,32.614,0,2020-09-24,30.66,30.66,999.95,,Y,110077,6871808,ONLINE,Retail,,SIP,1527226,000000-0,,0,0
32,4090292,12827594,29216117,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-10-05,2020-10-06,2020-10-06,0,30.683,0,2020-10-05,32.59,32.59,999.95,,Y,110077,7109128,ONLINE,Retail,,SIP,1609611,000000-0,,0,0
33,4090292,12827594,29216078,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-10-26,2020-10-27,2020-10-27,Y0Y0000000,30.256,0,2020-10-26,33.05,33.05,999.95,,Y,110077,7504628,ONLINE,Retail,,SIP,1605079,000000-0,,0,0
34,4090292,12827594,29216117,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-11-05,2020-11-06,2020-11-06,0,28.809,0,2020-11-05,34.71,34.71,999.95,,Y,110077,7682603,ONLINE,Retail,,SIP,1636915,000000-0,,0,0
35,4090292,12827594,29216078,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-11-24,2020-11-25,2020-11-25,Y0Y0000000,26.232,0,2020-11-24,38.12,38.12,999.95,,Y,110077,8038558,ONLINE,Retail,,SIP,135570622,000000-0,,0,0
36,4090292,12827594,29216117,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-12-07,2020-12-08,2020-12-08,0,25.739,0,2020-12-07,38.85,38.85,999.95,,Y,110077,8216606,ONLINE,Retail,,SIP,140836546,000000-0,,0,0
37,4090292,12827594,29216078,9011749693,AF,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-12-24,2020-12-25,2020-12-28,Y0Y0000000,24.8,0,2020-12-24,40.32,40.32,999.95,ISIP,Y,110077,8612053,ONLINE,Retail,,SIP,152091742,000000-0,,0,0
38,4090292,16529439,7428803,9011805045,TS,DG,,P,SIN,,CQ,AXIS BANK,0,2020-08-03,2020-08-04,2020-08-04,00Y0000000,103.995,0,2020-08-03,48.0767,48.0767,4999.75,,Y,110017,6001613,OFFLINE,Retail,,SIP,99624874,000000-0,,0,0
39,4090292,16529439,7428803,9011805045,TS,DG,,P,SIN,,CQ,AXIS BANK,0,2020-11-02,2020-11-03,2020-11-03,00Y0000000,94.525,0,2020-11-02,52.8932,52.8932,4999.75,,Y,110017,7642993,OFFLINE,Retail,,SIP,99605714,000000-0,,0,0
40,4090292,16529439,81004034,9011805045,EF,DG,,R,LTOP,,,,0,2021-01-04,2021-01-05,2021-01-05,00Y0000000,2135.71,0,2021-01-04,42.51,42.14,90000.9,,Y,110017,8730643,ONLINE,Retail,,LUMP SUM,156254990,000000-0,,0,0
41,4090292,16529439,7428803,9011805045,TS,DG,,P,SIN,,CQ,AXIS BANK,0,2020-05-04,2020-05-05,2020-05-05,00Y0000000,113.695,0,2020-05-04,43.9775,43.9775,5000,,Y,110017,4459088,OFFLINE,Retail,,SIP,99605711,000000-0,,0,0
42,4090292,16529439,7428803,9011805045,TS,DG,,P,SIN,,CQ,AXIS BANK,0,2020-04-01,2020-04-02,2020-04-03,00Y0000000,124.149,0,2020-04-01,40.2742,40.2742,5000,,Y,110017,4103940,OFFLINE,Retail,,SIP,99605710,000000-0,,0,0
43,4090292,16529439,7428803,9011805045,TS,DG,,P,SIN,,CQ,AXIS BANK,0,2020-06-01,2020-06-02,2020-06-02,00Y0000000,109.629,0,2020-06-01,45.6082,45.6082,5000,,Y,110017,4973248,OFFLINE,Retail,,SIP,98633650,000000-0,,0,0
44,4090292,16529439,81004034,9011805045,TS,DG,,P,LTIA,,,,0,2021-01-04,2021-01-05,2021-01-05,00Y0000000,1372.55,0,2021-01-04,65.5681,65.5681,89995.5,,Y,110017,8730643,ONLINE,Retail,,LUMP SUM,156220978,000000-0,,0,0
45,4090292,16529439,7428803,9011805045,TS,DG,,P,SIN,,CQ,AXIS BANK,0,2020-10-01,2020-10-02,2020-10-05,00Y0000000,97.558,0,2020-10-01,51.2488,51.2488,4999.75,,Y,110017,7089293,OFFLINE,Retail,,SIP,99605713,000000-0,,0,0
46,4090292,16529439,7428803,9011805045,TS,DG,,P,SIN,,CQ,AXIS BANK,0,2021-01-01,2021-01-02,2021-01-04,00Y0000000,76.941,0,2021-01-01,64.982,64.982,4999.75,,Y,110017,8710868,OFFLINE,Retail,,SIP,155423145,000000-0,,0,0
47,4090292,16529439,7428803,9011805045,TS,DG,,P,SIN,,CQ,AXIS BANK,0,2020-07-01,2020-07-02,2020-07-02,00Y0000000,105.798,0,2020-07-01,47.2575,47.2575,4999.75,,Y,110017,5447858,OFFLINE,Retail,,SIP,99605712,000000-0,,0,0
48,4090292,16529439,7428803,9011805045,TS,DG,,P,SIN,,CQ,AXIS BANK,0,2020-12-01,2020-12-02,2020-12-02,00Y0000000,82.629,0,2020-12-01,60.5083,60.5083,4999.75,,Y,110017,8176928,OFFLINE,Retail,,SIP,138618090,000000-0,,0,0
49,4090292,16529439,7428803,9011805045,TS,DG,,P,SIN,,CQ,AXIS BANK,0,2020-09-01,2020-09-02,2020-09-02,00Y0000000,97.534,0,2020-09-01,51.2617,51.2617,4999.75,,Y,110017,6496013,OFFLINE,Retail,,SIP,66852658,000000-0,,0,0
50,4090292,17218491,52570224,9011806122,SC,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-04-13,2020-04-14,2020-04-15,0,183.756,0,2020-04-13,27.21,27.21,5000,,Y,201303,4164735,ONLINE,Retail,,SIP,56943266,000000-0,,0,0
51,4090292,17218491,52570224,9011806122,SC,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-05-11,2020-05-12,2020-05-12,0,180.963,0,2020-05-11,27.63,27.63,5000,,Y,201303,4579391,ONLINE,Retail,,SIP,87384660,000000-0,,0,0
52,4090292,17218491,52570224,9011806122,SC,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-06-10,2020-06-11,2020-06-11,0,168.294,0,2020-06-10,29.71,29.71,5000,,Y,201303,5212191,ONLINE,Retail,,SIP,87397865,000000-0,,0,0
53,4090292,17218491,52570224,9011806122,SC,DG,,P,SIN,ISIP,IS,AXIS,0,2020-07-10,2020-07-11,2020-07-13,0,159.89,0,2020-07-10,31.27,31.27,4999.75,,Y,201303,5686831,ONLINE,Retail,,SIP,87554205,000000-0,,0,0
54,4090292,17218491,52570224,9011806122,SC,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-08-10,2020-08-11,2020-08-11,0,150.868,0,2020-08-10,33.14,33.14,4999.75,,Y,201303,6141686,ONLINE,Retail,,SIP,87874070,000000-0,,0,0
55,4090292,17218491,52570224,9011806122,SC,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-09-10,2020-09-11,2020-09-11,0,144.376,0,2020-09-10,34.63,34.63,4999.75,,Y,201303,6636091,ONLINE,Retail,,SIP,86463056,000000-0,,0,0
56,4090292,17218491,52570224,9011806122,SC,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-10-12,2020-10-13,2020-10-13,0,136.717,0,2020-10-12,36.57,36.57,4999.75,,Y,201303,7229361,ONLINE,Retail,,SIP,87284879,000000-0,,0,0
57,4090292,17218491,52570224,9011806122,SC,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-11-10,2020-11-11,2020-11-11,0,133.043,0,2020-11-10,37.58,37.58,4999.75,,Y,201303,7783061,ONLINE,Retail,,SIP,130087425,000000-0,,0,0
58,4090292,17218491,52570224,9011806122,SC,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-12-10,2020-12-11,2020-12-11,0,121.001,0,2020-12-10,41.32,41.32,4999.75,,Y,201303,8257686,ONLINE,Retail,,SIP,142615160,000000-0,,0,0
59,-1,14288288,6869371,9011820071,TS,DG,,P,SIN,ISIP,CQ,axis,0,2020-07-01,2020-07-02,2020-07-02,0,42.319,0,2020-07-01,47.2575,47.2575,1999.9,,Y,700122,5621493,ONLINE,Retail,,SIP,101845749,,,0,0
60,-1,14288288,6869371,9011820071,TS,DG,,P,SIN,ISIP,CQ,axis,0,2020-05-04,2020-05-05,2020-05-05,0,45.478,0,2020-05-04,43.9775,43.9775,2000,,Y,700122,4711808,ONLINE,Retail,,SIP,101395041,,,0,0
61,-1,14288288,6869371,9011820071,TS,DG,,P,SIN,ISIP,CQ,axis,0,2020-12-01,2020-12-02,2020-12-02,0,33.052,0,2020-12-01,60.5083,60.5083,1999.9,,Y,700122,12465031,ONLINE,Retail,,SIP,244739224,,,0,0
62,-1,14288288,6869371,9011820071,TS,DG,,P,SIN,ISIP,CQ,axis,0,2020-11-02,2020-11-03,2020-11-03,0,37.81,0,2020-11-02,52.8932,52.8932,1999.9,,Y,700122,12465031,ONLINE,Retail,,SIP,244721159,,,0,0
63,-1,14288288,6869371,9011820071,TS,DG,,P,SIN,ISIP,CQ,axis,0,2020-04-01,2020-04-02,2020-04-03,0,49.66,0,2020-04-01,40.2742,40.2742,2000,,Y,700122,4119350,ONLINE,Retail,,SIP,101242607,,,0,0
64,-1,14288288,6869371,9011820071,TS,DG,,P,SIN,ISIP,CQ,,0,2020-06-01,2020-06-02,2020-06-02,0,43.852,0,2020-06-01,45.6082,45.6082,2000,,Y,700122,5621493,ONLINE,Retail,,SIP,101741429,,,0,0
65,-1,14288288,6869371,9011820071,TS,DG,,P,SIN,ISIP,CQ,axis,0,2020-09-01,2020-09-02,2020-09-02,0,39.014,0,2020-09-01,51.2617,51.2617,1999.9,,Y,700122,12465031,ONLINE,Retail,,SIP,244726911,,,0,0
66,-1,14288288,6869371,9011820071,TS,DG,,P,SIN,ISIP,CQ,axis,0,2020-08-03,2020-08-04,2020-08-04,0,41.598,0,2020-08-03,48.0767,48.0767,1999.9,,Y,700122,6372978,ONLINE,Retail,,SIP,101982796,,,0,0
67,-1,14288288,6869371,9011820071,TS,DG,,P,SIN,ISIP,CQ,axis,0,2020-10-01,2020-10-02,2020-10-05,0,39.023,0,2020-10-01,51.2488,51.2488,1999.9,,Y,700122,12465031,ONLINE,Retail,,SIP,244759880,,,0,0
68,-1,14288288,6869371,9011820071,TS,DG,,P,SIN,ISIP,CQ,axis,0,2021-01-01,2021-01-02,2021-01-04,0,30.776,0,2021-01-01,64.982,64.982,1999.9,,Y,700122,12465031,ONLINE,Retail,,SIP,244766323,,,0,0
69,-1,13614626,12549800,9011840582,TS,DG,,P,SIN,ISIP,IS,SBI,0,2020-07-10,2020-07-11,2020-07-13,0,20.678,0,2020-07-10,48.3586,48.3586,999.95,,Y,713101,6373172,ONLINE,Retail,,SIP,69275722,,,0,0
70,-1,13614626,12549800,9011840582,TS,DG,,P,SIN,ISIP,CQ,SBI,0,2020-06-10,2020-06-11,2020-06-11,0,21.522,0,2020-06-10,46.4633,46.4633,1000,,Y,713101,5621687,ONLINE,Retail,,SIP,101263355,,,0,0
71,-1,13614626,12549800,9011840582,TS,DG,,P,SIN,ISIP,CQ,SBI,0,2020-05-11,2020-05-12,2020-05-12,0,23.016,0,2020-05-11,43.4478,43.4478,1000,,Y,713101,4712002,ONLINE,Retail,,SIP,101666147,,,0,0
72,-1,13614626,12549800,9011840582,TS,DG,,P,SIN,ISIP,CQ,SBI,0,2020-09-10,2020-09-11,2020-09-11,0,19.736,0,2020-09-10,50.6651,50.6651,999.95,,Y,713101,12465225,ONLINE,Retail,,SIP,244745351,,,0,0
73,-1,13614626,12549800,9011840582,TS,DG,,P,SIN,ISIP,CQ,SBI,0,2020-10-12,2020-10-13,2020-10-13,0,19.229,0,2020-10-12,52.0031,52.0031,999.95,,Y,713101,12465225,ONLINE,Retail,,SIP,244724801,,,0,0
74,-1,13614626,12549800,9011840582,TS,DG,,P,SIN,ISIP,CQ,SBI,0,2020-12-10,2020-12-11,2020-12-11,0,16.143,0,2020-12-10,61.9425,61.9425,999.95,,Y,713101,12465225,ONLINE,Retail,,SIP,244732970,,,0,0
75,-1,13614626,12549800,9011840582,TS,DG,,P,SIN,ISIP,CQ,SBI,0,2020-04-13,2020-04-14,2020-04-15,0,23.312,0,2020-04-13,42.8958,42.8958,1000,,Y,713101,4712002,ONLINE,Retail,,SIP,100868019,,,0,0
76,-1,13614626,12549800,9011840582,TS,DG,,P,SIN,ISIP,CQ,SBI,0,2020-11-10,2020-11-11,2020-11-11,0,17.764,0,2020-11-10,56.2903,56.2903,999.95,,Y,713101,12465225,ONLINE,Retail,,SIP,244731530,,,0,0
77,-1,13614626,12549800,9011840582,TS,DG,,P,SIN,ISIP,CQ,SBI,0,2020-08-10,2020-08-11,2020-08-11,0,19.866,0,2020-08-10,50.3349,50.3349,999.95,,Y,713101,6373172,ONLINE,Retail,,SIP,101964445,,,0,0
78,-1,12814062,11553325,9011933462,TS,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-08-25,2020-08-26,2020-08-26,0,38.605,0,2020-08-25,51.8047,51.8047,1999.9,,Y,700060,12464969,ONLINE,Retail,,SIP,244701923,,,0,0
79,-1,12814062,11553325,9011933462,TS,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-07-27,2020-07-28,2020-07-28,0,41.718,0,2020-07-27,47.9389,47.9389,1999.9,,Y,700060,6372916,ONLINE,Retail,,SIP,101907905,,,0,0
80,-1,12814062,6282903,9011933462,TS,DG,,P,SIN,ISIP,CQ,axis,0,2020-09-21,2020-09-22,2020-09-22,0,40.093,0,2020-09-21,49.8814,49.8814,1999.9,,Y,700060,12464969,ONLINE,Retail,,SIP,244723499,,,0,0
81,-1,12814062,6282902,9011933462,TS,DG,,P,SIN,ISIP,CQ,axis,0,2020-06-10,2020-06-11,2020-06-11,0,32.284,0,2020-06-10,46.4633,46.4633,1500,,Y,700060,5621431,ONLINE,Retail,,SIP,101263356,,,0,0
82,4090292,12814062,74309996,9011933462,ST,DG,,R,STPO,,,,0,2020-12-30,2020-12-31,2020-12-31,Y0Y0000000,158.055,0,2020-12-30,25.3076,25.3076,4000,,Y,700060,8647116,ONLINE,Retail,,LUMP SUM,153854909,000000-0,,0,0
83,4090292,12814062,77537185,9011933462,CF,DG,,R,STPO,,,,0,2021-01-01,2021-01-02,2021-01-02,00Y0000000,1.764,0,2021-01-01,2267.12,2267.12,4000,,Y,700060,8686666,ONLINE,Retail,,LUMP SUM,154473606,000000-0,,0,0
84,-1,12814062,6282903,9011933462,TS,DG,,P,SIN,ISIP,CQ,axis,0,2020-07-20,2020-07-21,2020-07-21,0,41.034,0,2020-07-20,48.7371,48.7371,1999.9,,Y,700060,6372916,ONLINE,Retail,,SIP,101231016,,,0,0
85,-1,12814062,6282902,9011933462,TS,DG,,P,SIN,ISIP,CQ,axis,0,2020-08-10,2020-08-11,2020-08-11,0,29.799,0,2020-08-10,50.3349,50.3349,1499.93,,Y,700060,6372916,ONLINE,Retail,,SIP,101983404,,,0,0
86,-1,12814062,6282902,9011933462,TS,DG,,P,SIN,ISIP,CQ,axis,0,2020-09-10,2020-09-11,2020-09-11,0,29.605,0,2020-09-10,50.6651,50.6651,1499.93,,Y,700060,12464969,ONLINE,Retail,,SIP,244701824,,,0,0
87,4090292,12814062,74309996,9011933462,ST,DG,,R,STPO,,,,0,2020-11-18,2020-11-19,2020-11-19,Y0Y0000000,159.167,0,2020-11-18,25.1309,25.1309,4000,,Y,700060,7935191,ONLINE,Retail,,LUMP SUM,133809061,000000-0,,0,0
88,4090292,12814062,74309996,9011933462,ST,DG,,R,STPO,,,,0,2020-12-16,2020-12-17,2020-12-17,Y0Y0000000,158.489,0,2020-12-16,25.2383,25.2383,4000,,Y,700060,8390041,ONLINE,Retail,,LUMP SUM,145245871,000000-0,,0,0
89,4090292,12814062,74309996,9011933462,SC,DG,,P,STPA,,,,0,2020-12-02,2020-12-03,2020-12-03,Y0Y0000000,97.342,0,2020-12-02,41.09,41.09,3999.8,,Y,700060,8192276,ONLINE,Retail,,LUMP SUM,139063693,000000-0,,0,0
90,4090292,12814062,74167655,9011933462,MC,DG,,P,ADD,,CQ,AXIS BANK LTD,0,2020-10-29,2020-10-30,2020-10-30,00Y0000000,106.65,0,2020-10-29,46.88,46.88,4999.75,Trxn.Ref.No.779109453/Axis Bank,Y,700060,7658341,ONLINE,Retail,,LUMP SUM,67137448,000000-0,,0,0
91,4090292,12814062,74309996,9011933462,SC,DG,,P,STPA,,,,0,2020-12-30,2020-12-31,2020-12-31,Y0Y0000000,93.388,0,2020-12-30,42.83,42.83,3999.8,,Y,700060,8647116,ONLINE,Retail,,LUMP SUM,153897071,000000-0,,0,0
92,4090292,12814062,74006261,9011933462,ST,DG,,P,NEW,,CQ,AXIS BANK,0,2020-10-27,2020-10-28,2020-10-28,00Y0000000,7592.12,0,2020-10-27,25.0247,25.0247,189990,Trxn.Ref. No.VUTI9393996897,Y,700060,12148371,ONLINE,Retail,,LUMP SUM,238562460,000000-0,,0,0
93,-1,12814062,6282903,9011933462,TS,DG,,P,SIN,ISIP,CQ,axis,0,2020-10-20,2020-10-21,2020-10-21,0,38.477,0,2020-10-20,51.9759,51.9759,1999.9,,Y,700060,12464969,ONLINE,Retail,,SIP,244763450,,,0,0
94,-1,12814062,11553325,9011933462,TS,DG,,P,SIN,ISIP,CQ,AXIS,0,2020-09-25,2020-09-26,2020-09-26,0,40.67,0,2020-09-25,49.1743,49.1743,1999.9,,Y,700060,12464969,ONLINE,Retail,,SIP,244709653,,,0,0
95,-1,12814062,76470111,9011933462,TS,DG,,R,LTOP,,,,0,2020-11-23,2020-11-24,2020-11-24,Y000000000,1561.81,0,2020-11-23,59.8224,59.8224,93431,,Y,700060,12464969,ONLINE,Retail,,LUMP SUM,244738657,,,0,0
